busplaName,cntctNo,compAddr,empType,enterType,envBothHands,envEyesight,envLstnTalk,jobNm,offerregDt,regDt,regagnName,reqCareer,reqEduc,rno,rnum,salary,salaryType,termDate,envHandWork,envLiftPower,envStndWalk,reqMajor,reqLicens
(주)엠에스리테일,1588-1519,강원도 춘천시 동면 건일길 79 (장학리),상용직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,상품 진열원,20260415,20260415,한국장애인고용공단 강원지사,무관,무관,28,28,"10,320",시급,2026-04-15~2026-05-31,작은 물품 조립가능,20Kg 이상의 물건을 다룰 수 있음,오랫동안 가능,,
(주)석경에이티,1588-1519,경기도 안산시 단원구 별망로459번길 24  (목내동),상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,듣고 말하기에 어려움 없음,하수·폐수 처리장치 조작원,20260415,20260415,한국장애인고용공단 전북지사,무관,무관,29,29,"2,200,000",월급,2026-04-15~2026-04-30,작은 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
경남신용보증재단,1588-1519,"경상남도 창원시 성산구 원이대로 362 경남신용보증재단 (대원동, 창원컨벤션센터 4층)",계약직,신입,,,,디지털 행정 사무보조원,20260415,20260415,한국장애인고용공단 경남동부지사,무관,무관,30,30,"2,531,000",월급,2026-04-15~2026-04-23,,,,,
(주)에스앤티저축은행,1588-1519,경상남도 창원시 성산구 중앙대로 85 (중앙동) 리제스타워 1층,계약직,무관,,,,은행 사무원(출납창구 제외),20260415,20260415,한국장애인고용공단 경남동부지사,0년0개월,초대졸,31,31,"2,200,000",월급,2026-04-15~2026-06-30,,,,,
에스에이치엘(SHL)유통,1588-1519,대전광역시 서구 봉우로8번길 23 (관저동) 4층 410호,계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,사무 보조원(일반사업체),20260415,20260415,한국장애인고용공단 대전지역본부,0년0개월,고졸,32,32,"10,320",시급,2026-04-15~2026-04-24,작은 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,서거나 걷는 일 어려움,,
한국교통안전공단,1588-1519,광주광역시 남구 송암로 96 (송하동),계약직,무관,,,,사무 보조원(공공기관),20260415,20260420,한국장애인고용공단 경북지사,무관,무관,33,33,"10,320",시급,2026-04-15~2026-04-30,,,,,
쿠팡풀필먼트서비스 유한회사(Coupang Fulfillment Services Ltd,1588-1519,서울특별시 송파구 법원로11길 12 8층 (문정동),계약직,신입,,아주 작은 글씨를 읽을 수 있음,간단한 듣고 말하기 가능,사무 보조원(일반사업체),20260415,20260417,한국장애인고용공단 경기지역본부,무관,고졸,34,34,"1,120,000",월급,2026-04-15~2026-04-30,큰 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
한국건강관리협회,1588-1519,충청북도 청주시 흥덕구 직지대로 631 한국건강관리협회 (봉명동),계약직,무관,,,,사무 보조원(일반사업체),20260414,20260421,한국장애인고용공단 충북지사,무관,무관,35,35,"1,100,000",월급,2026-04-14~2026-05-29,,,,간호학,
(주)큐앤리브즈,1588-1519,서울특별시 동작구 노량진로28길 12 (본동),상용직,무관,,,,쇼핑몰 상품 포장원,20260414,20260414,한국장애인고용공단 서울남부지사,0년개월,무관,36,36,"1,080,000",월급,2026-04-14~2026-07-13,,,,,
샘기술 주식회사,1588-1519,전북특별자치도 부안군 행안면 부안농공단지길 51 주식회사 샘기술,시간제,무관,,,,빅데이터 관리원,20260414,20260414,한국장애인고용공단 전북지사,0년0개월,무관,37,37,"10,320",시급,2026-04-14~2026-04-30,,,,,
