orgNm,pgmNm,pgmSubNm,pgmTarget,pgmStdt,pgmEndt,openTimeClcd,openTime,operationTime,openPlcCont
인천북부고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상","[성취Ⅰ 만20세~만54세] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상 희망자",20260420,20260423,1,09:30,24,인천북부고용센터 5층 성취실
구미고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상",(연령제한없음)구직기술향상이 필요한 일반구직자,20260421,20260424,1,10:00,24,구미고용센터 5층 프로그램실(2)
고양고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,"재취업을 희망하는 신중년(5060대),하루 6시간(0930~1630) 3일 수료과정.",20260421,20260423,1,09:30,18,3층 프로그램3실
대구서부고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상","34세 이하 일반 구직자, 실업급여 수급자, 국민취업지원제도 참여자 등(청년층 대상)",20260421,20260424,1,09:30,24,대구서부고용센터 별관 7층 안쪽 프로그램실 (아테네웨딩 건물 7층)
광주고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",,20260421,20260424,1,09:30,24,광주고용복지+센터 8층 열림실
광주광산고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자",20260421,20260424,1,09:30,24,광주광산고용센터 3층 집단상담실
부산북부고용센터,취업특강,이력서에서 면접까지(10::00),취업을 희망하는 모든 구직자,20260421,20260421,1,10:00,2,부산북부고용센터(화명동) 4층 키움방
부천고용센터,취업특강,평생월급 프로젝트(국민연금공단),모든구직자,20260421,20260421,1,10:00,2,부천고용복지플러스센터 7층 단기취업특강실
하남고용센터,취업특강,취업성공을 부르는 시간관리,구직자,20260421,20260421,2,02:00,2,하남고용센터 3층 취업성공룸
거제고용센터,취업특강,중장년 채용 트렌드,만40세 이상 구직자,20260421,20260421,2,02:00,2,거제고용복지+센터 프로그램실
남양주고용센터,취업특강,"나를 사랑하는 연습, 회복탄력성 키우기","[대면] 국민취업지원제도 참여자, 실업급여 수급자, 일반구직자 등",20260421,20260421,2,02:00,2,남양주고용센터 4층 고용센터 교육장
거제고용센터,취업특강,취업 방해요소 다루기,구직자,20260421,20260421,1,10:00,2,거제고용복지+센터 프로그램실
충주고용센터,취업특강,든든한 인생설계,"실업급여수급자, 국민취업지원제도참여자, 일반수급자 등",20260421,20260421,2,02:00,2,충주고용센터 3층 교육장1
고성고용센터,취업특강,신용관리방법,［연령 제한 없음］실업급여 수급자/국민취업지원제도 참여자/재직자/구직자 등 통영·고성·거제 거주자,20260421,20260421,1,10:00,2,"고성고용센터 교육장(고성군 고성읍 동외로 175, 양강빌딩 5층)"
의왕고용센터,취업특강,성공적인 취업을 위한 마음 챙김,"일반구직자, 실업급여 수급자, 국민취업지원제도 참여자 등",20260421,20260421,2,04:00,2,의왕고용센터 2층 실업급여 설명회장
시흥고용센터,취업특강,[모바일 고용24 과정] 취업특강,"구직자도약보장패키지 참여자, 실업급여 수급자, 일반 구직자 등",20260421,20260421,2,02:00,2,시흥고용복지+센터 5층 프로그램2실
울산고용센터,취업특강,슬기로운 금융생활,"실업급여대상자, 국민취업지원제도 및 구직자도약보장패키지 참여자, 일반구직자",20260421,20260421,2,02:00,2,울산고용복지+센터 8층 취업특강실
춘천고용센터,취업특강,자기인식을 통한 재취업전략,구직자,20260421,20260421,1,10:00,2,춘천고용센터 3층 교육장
안산고용센터,취업특강,(청년) 안산청년브릿지-직업가치탐색,"(청년)실업급여수급자, 국민취업지원제도 참여자, 구직자도약패키지 참여자, 일반 구직자",20260421,20260421,1,10:00,2,안산고용센터 5층 프로그램 2실
서울관악고용센터,취업특강,2026년 新이력서·자기소개서 작성하기,"일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260421,20260421,2,02:00,2,서울관악고용복지+센터 2층 프로그램1실
광주고용센터,취업특강,백세시대 구직법(시니어를 위한 구직노하우),"일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자(만 50세이상)",20260421,20260421,2,01:30,2,광주고용복지+센터 9층 취업특강실
인천고용센터,취업특강,재취업자 구직서류 작성법,모든 구직자,20260421,20260421,1,10:00,2,인천고용센터 별관 2층 취업특강실
창원고용센터,취업특강,정신건강특강,,20260421,20260421,1,10:00,2,"창원고용복지+센터 7층, 대강당"
인천서부고용센터,취업특강,"멋진 이력서, 자기소개서 작성하기",,20260421,20260421,1,10:00,2,인천서부고용복지+센터 8층 프로그램실 ( 인천 서구 이음1로 389 에이플러스빌딩 8층)
시흥고용센터,취업특강,취업특강(국민연금과 노후생활설계),"실업급여 수급자, 국민취업지원제도 참여자, 일반 구직자 등",20260421,20260421,2,02:00,2,시흥고용복지플러스센터 5층 프로그램1실
부산동부고용센터,취업특강,[일자리수요데이-공통] 참 쉬운 신용관리,(공통) 구직자,20260421,20260421,1,10:00,2,"수영역9번,국민연금남부산 4층(별관3강의실)"
부산고용센터,취업특강,"(중년층) 중년의 재도전, 면접마스터키 획득",중년층구직자 (만35-59세),20260421,20260421,1,10:00,2,부산고용센터 4층 4프로그램실
