jobCd,jobCdLevel,jobCdNm,rnum,jobTask,noticeCn,simlrJob,sprdOckclsYn,jobdevtipCn
15550502,5,환경오염 저감장치 기술자,2273,·  각종 공사현장에서 사용되는 기계나 장비에서 발생되는 환경오염으로부터 환경을 관리·  보전하기 위해 각종 시설에 적합한 오염저감장치를 설계하는 업무를 수행한다.,,,,
15560000,5,환경공학 시험원,2274,"·  환경공학 기술자 및 연구원의 지휘, 감독하에 환경 보전에 필요한 다양한 기술적 업무로서 수질, 소음, 진동, 대기 등에 관한 각종 환경 실험을 하고, 폐기물처리나 하수처리 공정에 관련된 업무를 한다. 다만, 아래의 세세세분류에 포함되지 않는 직무는 본 직무로 분류한다.",·  환경 관련 연구나 시험을 보조할 경우에는 ‘15990001 기타 공학 관련 시험(연구)보조원’으로 분류한다.,"· 대기오염시험원, 대기환경시험원, 배출시설관리원, 소음진동산업기사, 수질오염시험원, 토양오염시험원, 폐기물처리산업기사, 환경조사원",,
15560001,5,환경시료 분석원,2275,"·  대기, 수질, 소음진동, 토양, 폐기물 등의 오염분석을 위해 준비된 시료를 토대로 원인물질 분석, 중금속 실험, 극미량 유기물 분석을 통하여 오염도를 측정한다.",,"· 수질분석원, 대기분석원, 토양분석원",,
15560002,5,환경시료 채취원,2276,"·  대기, 수질, 소음진동, 토양, 폐기물 등의 오염분석을 위한 적정 기법을 확인하고, 시료를 채취한다.",·  환경 관련 연구나 시험을 보조할 경우에는 ‘15990001 기타 공학 관련 시험(연구)보조원’으로 분류한다.,"· 수질시료채취원, 대기시료채취원, 토양시료채취원",,"·  수자원 공사, 환경 관련 연구소 등에서 수질, 토양 등의 시료를 재취하는 업무에서 장애인 구인이 발생하기도 한다.
·  환경 관련 자격증을 보유할 경우 취업에 유리하다."
15570000,5,산업보건 및 산업환경 관리 기술자,2277,"·  위생 및 환경과 관련된 불만을 조사하고 음식점, 식품가공업체, 호텔, 지역 상수시스템 및 기타 작업장의 위생, 공해 관리, 위험물 처리 과정이 정부 규정에 맞는지 검사한다. 또한 환경시설물을 평가하고 식수나 식용수를 정기적으로 채취, 검사하며 대기오염원의 정기적 측정, 쓰레기 및 폐기물의 효율적인 처리를 관리한다.",,"· 보건위생검사원, 산업위생관리원, 식품위생감시원, 환경검사원, 환경관리원",,
15610000,5,섬유공학 기술자 및 연구원,2278,"·  섬유의 소재 및 의류 등 섬유제품을 개발하고 기능 개선을 위한 연구, 시험, 분석을 하며, 섬유 가공기술의 개발 및 제품화를 위한 공정을 설계한다.","·  염료, 염색 등은 화학분야에 포함되나 섬유와의 밀접한 연관성을 고려하여 해당 직무로 분류한다.","· 섬유공정개발기술자, 섬유분석원, 섬유소재개발기술자, 염색개발기술자, 염색공정개발기술자, 원단개발원",,
15620000,5,섬유공학 시험원(섬유·염료),2279,"·  섬유공학 기술자 및 연구원의 지휘, 감독하에 섬유소재, 원단, 염료, 염색 등의 지식을 바탕으로 재료의 품질, 유해성, 성분 등을 시험·  분석한다.","·  섬유와 관련한 연구와 시험을 동시에 수행할 경우에는 ‘15610000 섬유공학 기술자 및 연구원’으로 분류한다.
·  섬유 관련 연구나 시험을 보조할 경우에는 ‘15990001 기타 공학 관련 시험(연구)보조원’으로 분류한다.","· 섬유공학시험원, 섬유분석원, 섬유소재분석원, 섬유시험원, 염료시험원, 친환경섬유기술시험원, 친환경섬유소재시험원",,
15710000,5,식품공학 기술자 및 연구원,2280,"·  식료품에 관한 조사 연구, 신제품 개발, 제조공정 개발·  개선, 생산관리, 품질관리, 포장 방법 고안, 식품가공 및 이용 등에 관한 연구 및 기술적 업무를 한다.",,"· 가공식품개발연구원, 기능성보조식품연구원, 기능성식품연구원, 레토르트식품연구원, 발효식품연구원, 식품공학기술자, 식품분석연구원, 식품소재개발연구원, 식품실험원, 식품연구원, 식품제조실험원, 식품첨가물연구원, 양조생산기술자, 음식료품기술자, 제면식품연구원, 주류제품연구원, 천연식품연구원, 퓨전식품개발연구원, HACCP인증연구원",,
15720000,5,식품공학 시험원,2281,"·  식품공학 기술자 및 연구원의 지휘, 감독하에 음식료품의 물리·  화학적 특성을 시험하여 회사나 정부의 품질기준, 안전성 기준과 일치하는지 검사한다.","·  기계와 관련한 연구와 시험을 동시에 수행할 경우에는 ‘15710000 식품공학 기술자 및 연구원’으로 분류한다
·  식품회사에서 품질관리를 위해 식품 시험 업무를 수행할 경우에는 본 직무로 분류한다.
·  식품 관련 연구나 시험을 보조할 경우에는 ‘15990001 기타 공학 관련 시험(연구)보조원’으로 분류한다.","· 낙농품품질검사원, 식품공학시험원, 식품분석원, 식품성분분석원, 식품세균시험원, 식품시험원, 음식료품감정사(식품공학분야), 음식료품검사원, 주정검사원",,
15810000,5,소방공학 기술자 및 연구원,2282,,,,,
