pwdbs_slwy_estnc,pwdbs_tolt_estnc,stn_cd,stn_nm,whlch_liftt_cnt
Y,Y,3900513,점촌,0
N,Y,3900585,정동진,0
N,Y,3900590,정선,0
N,Y,3900218,정읍,0
N,Y,3900936,제진,0
Y,Y,3900153,제천,0
N,N,3900152,제천조차장,0
N,Y,3900715,조성,0
Y,Y,3900066,조치원,0
N,Y,3900633,좌천,0
N,Y,3900290,주덕,0
Y,N,3900260,주생,0
N,N,3900526,주평,0
N,N,3900337,주포,0
N,N,3900251,죽림온천,0
N,Y,3900687,중리,0
N,Y,3900285,증평,0
Y,Y,3900094,지천,0
Y,Y,3900077,지탄,0
N,Y,3900133,지평,0
N,N,3900084,직지사,0
Y,Y,3900901,진례,0
Y,Y,3901060,진부(오대산),0
N,Y,3900707,진상,0
N,Y,3900683,진영,0
N,Y,3900699,진주,0
N,Y,3900666,진해,0
N,Y,3900685,창원,0
N,Y,3900902,창원중앙,0
N,Y,3900061,천안,0
N,Y,3900884,천안아산,0
N,N,3900219,천원,0
Y,Y,3900565,철암,0
Y,Y,3900102,청도,0
Y,Y,3900388,청량리,0
N,Y,3900508,청리,0
Y,N,3900336,청소,0
N,Y,3900281,청주,0
N,N,3900283,청주공항,0
Y,Y,3900671,청천,2
N,N,3900217,초강,0
Y,N,3900414,초성리,0
N,N,3900595,추암,0
N,Y,3900614,추전,0
Y,Y,3900082,추풍령,0
Y,Y,3900556,춘양,0
Y,Y,3900292,충주,0
Y,Y,3900179,탑리,0
N,N,3900548,태금,0
Y,Y,3900615,태백,0
Y,Y,3900639,태화강,0
N,N,3900667,통해,0
Y,Y,3900343,판교,0
Y,Y,3900124,팔당,0
Y,Y,3901059,평창,0
N,Y,3900057,평택,0
N,Y,3901040,포항,0
N,Y,3900161,풍기,0
N,Y,3900574,하고사리,0
N,N,3900227,하남,0
Y,Y,3900706,하동,0
Y,Y,3900672,하양,0
Y,Y,3900682,한림정,0
N,N,3900415,한탄강,0
N,N,3900594,함백,0
Y,Y,3900689,함안,0
N,Y,3900208,함열,0
Y,N,3900512,함창,0
N,Y,3900235,함평,2
Y,Y,3900361,행신,0
Y,Y,3900559,현동,0
Y,Y,3900332,홍성,0
N,Y,3900110,화명,0
Y,Y,3900181,화본,0
Y,Y,3900185,화산,0
N,Y,3900727,화순,0
N,N,3900331,화양,0
Y,Y,3900081,황간,0
N,N,3900210,황등,0
N,Y,3900071,회덕,0
Y,Y,3901057,횡성,0
N,Y,3900705,횡천,0
N,N,3900654,효자,0
N,Y,3900730,효천,3
N,N,3900197,흑석리,0
N,N,3900544,흥국사,0
