railOprIsttCd,lnCd,stinCd,exitNo,dtlLoc,grndDvNmFr,runStinFlorFr,grndDvNmTo,runStinFlorTo,len,wd,bndWgt,LN_NM,STIN_NM
S1,6,2636,내부,"청구 방면1-1, 동묘앞 방면8-4",지하,3,지하,2,25.3,800,300,6호선,신당
S1,6,2636,내부,환승통로,지하,2,지하,1,14.5,800,300,6호선,신당
S1,6,2636,내부,환승통로,지하,2,지하,1,11.4,800,300,6호선,신당
S1,6,2636,내부,환승통로,지하,2,지하,1,11.4,800,300,6호선,신당
S1,6,2636,9,9번 출구 측,지하,1,지상,1,31.2,800,300,6호선,신당
S1,6,2637,내부,대합실,지하,2,지하,1,19.8,800,300,6호선,동묘앞
S1,6,2637,5,5번 출구 측,지하,1,지상,1,16.2,800,300,6호선,동묘앞
S1,6,2642,내부,아이센터 측(B2),지하,2,지하,1,14.1,800,300,6호선,월곡(동덕여대)
S1,6,2645,내부,돌곶이 방면1-1,지하,3,지하,2,14,800,300,6호선,석계
S1,6,2645,내부,태릉입구 방면8-4,지하,3,지하,2,15.4,800,300,6호선,석계
S1,7,2714,내부,화장실 측(B2),지하,2,지하,1,13.4,800,300,7호선,마들
S1,7,2729,내부,뚝섬유원지 방면1-1,지하,1,지상,2,33,800,300,7호선,건대입구
S1,7,2735,내부,대합실(1~6번출구 방면),지하,2,지하,1,,800,300,7호선,반포
S1,7,2736,내부,"환승통로(3,9호선)",지하,2,지하,1,23.3,800,300,7호선,고속터미널
S1,7,2736,내부,대합실(3번출구 방면),지하,2,지하,1,12.3,800,300,7호선,고속터미널
S1,7,2736,2,3번 출구 측,지하,1,지하,0.5,33.3,800,300,7호선,고속터미널
S1,7,2736,"4,5,6","4,5,6번출구 방면 통로",지하,1,지하,0.5,34,800,300,7호선,고속터미널
S1,7,2738,내부,환승통로(당고개 방면),지하,4,지하,2,25.1,800,300,7호선,총신대입구(이수)
S1,7,2738,내부,환승통로(사당 방면),지하,4,지하,2,26.1,800,300,7호선,총신대입구(이수)
S1,7,2746,내부,"2호선 환승구간(E/S#10,11 옆 계단)",지하,1,지상,1,53,800,300,7호선,대림(구로구청)
S1,7,2747,내부,대림 방면8-4,지하,5,지하,4,15.2,800,300,7호선,남구로
S1,7,2747,내부,가산디지털단지 방면1-1,지하,5,지하,4,15.1,800,300,7호선,남구로
S1,7,2747,내부,대합실(2~5번출구 방면),지하,4,지하,2,26.7,800,300,7호선,남구로
S1,7,2747,내부,대합실(2~5번출구 방면),지하,2,지하,1,17.9,800,300,7호선,남구로
S1,7,2747,내부,대합실(2~5번출구 방면),지하,1,지하,0.5,19.2,800,300,7호선,남구로
S1,7,2747,4,4번 출구 측,지하,1,지상,1,25.1,800,300,7호선,남구로
S1,7,2748,내부,대합실,지하,1,지하,1,6.3,800,300,7호선,가산디지털단지
S1,7,2748,내부,환승통로(7호선 대합실-1호선 승강장),지하,1,지상,2,34.1,800,300,7호선,가산디지털단지
S1,7,2748,내부,환승통로(7호선 대합실-1호선 승강장),지하,1,지상,2,34,800,300,7호선,가산디지털단지
S1,7,2752,6,6번 출구 측,지하,1,지상,1,13.7,800,300,7호선,온수(성공회대입구)
